rank,jogador,equipe,jo,min,ef,pts,rt,as,br,to,er
1,Vieira #11,Cerrado Basquete,16,33.92,19.81,22.75,6.56,4.25,2.06,0.06,4.75
2,Tatum #2,Rio Claro,11,28.13,18.64,16.45,6.91,2.55,0.91,0.45,1.82
3,Jones #2,São Paulo,22,36.11,17.05,18.55,6.32,2.32,1.14,0.23,2.05
4,Gerson #1,Basquete Blumenau,13,32.88,16.92,16.15,9.46,1.54,0.85,0.62,2.54
5,Stocks #23,São Paulo,22,33.87,15.91,17.18,4.09,4.68,2.41,0.09,3.68
6,João Vitor #0,São Paulo,24,24.70,15.63,13.00,8.04,0.92,0.58,1.79,1.88
7,M. Pajé #3,Oral Sin/Campo Mourão,21,25.77,15.29,11.10,6.38,1.33,1.29,0.62,1.29
8,Edu Mariano #17,Oral Sin/Campo Mourão,21,33.72,15.19,9.24,6.52,2.67,2.67,0.05,1.71
9,Reggie #24,UNIFACISA,18,33.29,14.56,13.67,9.44,1.11,0.83,0.39,1.39
10,Stefano #4,Londrina,18,33.45,14.33,14.22,4.11,4.50,1.78,0.17,2.67
11,Thornton #0,Pato Basquete,13,34.51,13.69,16.92,4.23,1.77,0.62,0.08,1.54
12,Okorie #2,UNIFACISA,18,33.39,13.61,16.56,3.06,2.72,1.22,0.17,2.17
13,Barnes #34,UNIFACISA,21,34.27,13.57,18.71,1.86,3.10,0.86,0.00,2.00
14,Monroe #5,UNIFACISA,7,25.10,13.29,9.43,7.43,1.43,0.86,0.57,1.14
15,Cassiano #5,Oral Sin/Campo Mourão,21,30.01,12.81,12.90,4.05,4.29,1.29,0.00,2.90
16,Lucious #11,Rio Claro,15,31.96,12.60,14.33,2.93,3.60,1.73,0.00,2.27
17,Gemadinha #35,Rio Claro,16,31.83,12.13,15.00,2.88,2.38,0.69,0.13,2.00
18,Eric #13,Pato Basquete,14,22.77,12.07,9.64,6.21,0.57,0.29,0.43,0.93
19,Johnson #32,Basquete Blumenau,11,34.48,12.00,14.82,4.82,1.82,1.45,0.36,1.73
20,Benjamin #1,São Paulo,21,25.44,11.90,7.43,6.90,1.76,0.43,1.10,1.90
21,Ricardo #33,Londrina,18,29.38,11.83,10.83,4.72,1.28,0.67,0.11,0.44
22,Sena #24,Cerrado Basquete,16,30.87,11.69,13.69,3.94,1.94,0.94,0.00,2.25
23,Pezão #21,UNIFACISA,25,21.57,10.60,7.96,5.64,1.12,0.72,0.48,0.96
24,Mulmore #11,Londrina,14,32.25,10.57,14.14,4.21,1.93,1.00,0.14,1.93
25,Robertson #10,Pato Basquete,14,20.99,10.50,8.43,6.14,0.57,0.71,0.50,1.71
26,Castellon #8,Pato Basquete,14,29.75,10.43,11.93,4.07,1.50,0.64,0.00,1.07
27,Phillips #3,Pato Basquete,10,27.77,10.40,14.60,4.70,3.70,1.00,0.00,3.40
28,Luizinho #11,UNIFACISA,25,22.23,10.40,7.44,4.24,1.68,0.96,0.28,1.08
29,Zabriski #33,Cerrado Basquete,15,21.98,9.93,9.33,5.00,0.73,0.73,0.27,1.33
30,Semmke #9,Basquete Blumenau,3,32.70,9.67,12.33,3.00,4.00,0.67,0.00,2.67
31,Tom #19,Londrina,18,19.87,9.67,6.94,5.39,0.78,0.22,0.56,1.06
32,César #5,Oral Sin/Campo Mourão,21,28.93,9.67,13.14,3.95,1.19,0.62,0.10,2.14
33,G. Servelin #3,Londrina,18,26.98,9.39,8.00,3.61,1.50,1.50,0.33,1.28
34,Rodrigues #16,São Paulo,22,15.11,9.27,5.91,3.91,0.50,0.45,0.41,0.23
35,Maynard #32,Rio Claro,16,23.95,9.00,9.25,5.38,0.94,0.75,0.06,1.69
36,Mangum IV #10,Oral Sin/Campo Mourão,20,23.07,8.70,13.70,3.00,1.85,1.15,0.05,1.65
37,Nandão #49,Basquete Blumenau,14,18.33,8.29,7.36,4.14,0.71,0.50,0.21,1.14
38,Vinícius #7,Basquete Blumenau,14,30.21,8.21,10.50,2.79,3.36,0.71,0.00,2.93
39,Audrei #15,UNIFACISA,25,23.99,8.20,7.68,4.28,1.16,0.52,0.08,1.08
40,Wesley #13,Oral Sin/Campo Mourão,21,15.74,7.95,6.57,4.14,0.52,0.81,0.33,1.24
