fase,rodada,mandante,WId,LId,Wpts,Lpts,Wa3c,La3c,Wa2c,La2c,Wllc,Lllc,Wrt,Lrt,Wass,Lass,Wto,Lto,Wen,Len,Wbr,Lbr,Wfc,Lfc,Wef,Lef
2,1,3,1,3,94,81,13,9,19,22,17,10,33,35,9,17,2,1,0,1,11,6,21,17,108,82
2,1,1,1,3,103,77,13,7,24,22,16,12,42,28,24,12,2,0,2,1,15,12,20,21,131,67
2,1,5,4,5,92,76,11,6,27,25,5,8,48,33,15,17,1,1,3,1,8,9,17,14,107,79
2,1,4,4,5,99,76,10,10,30,12,9,22,52,36,26,9,7,4,1,0,9,8,21,19,133,76
2,2,2,1,2,78,76,5,7,23,24,17,7,46,43,14,12,2,8,0,1,6,6,17,20,89,85
2,2,2,2,1,95,87,7,12,26,22,22,7,51,43,27,23,8,2,4,1,5,6,15,21,125,104
2,2,1,2,1,103,80,9,7,28,17,20,25,41,37,16,10,3,2,3,0,12,13,26,19,123,75
2,2,1,1,2,92,89,8,5,27,29,14,16,55,48,18,12,0,5,0,4,8,10,22,24,100,101
2,2,2,2,1,90,79,8,9,25,20,16,12,47,33,21,15,4,1,1,0,5,7,20,19,113,83
2,2,7,4,7,71,60,6,4,23,19,7,10,51,38,12,10,2,4,2,0,3,3,16,18,83,61
2,2,7,7,4,76,69,8,3,22,24,8,12,43,39,14,7,0,3,0,1,5,5,20,16,79,67
2,2,4,4,7,69,64,3,6,21,17,18,12,49,41,6,9,3,0,3,1,1,6,21,23,73,59
2,2,4,4,7,78,70,10,7,19,19,10,11,39,30,7,9,2,0,1,0,5,7,14,21,79,72
2,3,2,4,2,81,72,8,4,24,21,9,18,40,43,15,9,1,5,3,3,11,5,16,11,92,78
2,3,2,2,4,85,84,8,9,23,21,15,15,46,30,17,17,8,3,2,1,7,7,17,16,104,90
2,3,4,4,2,71,66,3,4,25,21,12,12,42,50,15,5,0,2,4,0,6,3,15,18,81,61
2,3,4,2,4,86,82,11,9,23,24,7,7,30,40,18,16,0,0,1,4,8,5,16,15,95,85
2,3,2,4,2,80,78,9,4,22,25,9,16,41,38,15,13,4,3,1,1,7,4,28,19,91,83
